"site","period","spp","dens","norm"
"1",34,"encrust",45.5,0.283017843005538
"1",34,"folred",3,0.163068540904056
"1",35,"brown",0,-0.67311393943165
"1",35,"calred",3,-0.727845097724764
"1",35,"encrust",47,0.405477465204678
"1",35,"folred",0,-0.829377698797367
"1",36,"brown",1,-0.559065878016804
"1",36,"calred",2,-0.778016845163364
"1",36,"encrust",56.5,1.1810550724659
"1",36,"folred",0.5,-0.663969992180463
"1",37,"brown",0.5,-0.616089908724227
"1",37,"calred",2.5,-0.752930971444064
"1",37,"encrust",54.5,1.01777557620038
"1",37,"folred",2.5,-0.00233916571284772
"1",38,"brown",6.5,0.0681984597648497
"1",38,"calred",5.5,-0.602415729128265
"1",38,"encrust",73.5,2.56893079072283
"1",38,"folred",3.5,0.32847624752096
"1",39,"brown",16.5,1.20867907391331
"1",39,"calred",5.5,-0.602415729128265
"1",39,"encrust",53.5,0.93613582806762
"1",39,"folred",0,-0.829377698797367
"1",40,"brown",3.5,-0.273945724479689
"1",40,"calred",4.5,-0.652587476566865
"1",40,"encrust",47.5,0.446297339271058
"1",40,"folred",2.5,-0.00233916571284772
"1",41,"brown",2.5,-0.387993785894535
"1",41,"calred",4,-0.677673350286165
"1",41,"encrust",47.5,0.446297339271058
"1",41,"folred",4,0.493883954137864
"1",42,"brown",11.5,0.63843876683908
"1",42,"calred",3,-0.727845097724764
"1",42,"encrust",38.5,-0.288460393923785
"1",42,"folred",4,0.493883954137864
"1",43,"brown",8,0.239270551887119
"1",43,"calred",3.5,-0.702759224005465
"1",43,"encrust",37.5,-0.370100142056545
"1",43,"folred",0.5,-0.663969992180463
"1",44,"brown",2.5,-0.387993785894535
"1",44,"calred",2,-0.778016845163364
"1",44,"encrust",28.5,-1.10485787525139
"1",44,"folred",4,0.493883954137864
"1",45,"brown",3,-0.330969755187112
"1",45,"calred",3,-0.727845097724764
"1",45,"encrust",28.5,-1.10485787525139
"1",45,"folred",2,-0.167746872329751
"1",46,"brown",57.5,5.884649591922
"1",46,"calred",2,-0.778016845163364
"1",46,"encrust",44,0.160558220806397
"1",46,"folred",0.5,-0.663969992180463
"1",47,"brown",6.5,0.0681984597648497
"1",47,"calred",3,-0.727845097724764
"1",47,"encrust",45.5,0.283017843005538
"1",47,"folred",1.5,-0.333154578946655
"1",48,"brown",NA,NA
"1",48,"calred",NA,NA
"1",48,"encrust",NA,NA
"1",48,"folred",NA,NA
"1",49,"brown",1.5,-0.502041847309381
"1",49,"calred",2.5,-0.752930971444064
"1",49,"encrust",32,-0.819118756786727
"1",49,"folred",2.5,-0.00233916571284772
"1",50,"brown",19.5,1.55082325815785
"1",50,"calred",1.5,-0.803102718882664
"1",50,"encrust",11.5,-2.49273359350831
"1",50,"folred",11,2.80959184677452
"1",51,"brown",2.5,-0.387993785894535
"1",51,"calred",0.5,-0.853274466321263
"1",51,"encrust",39.5,-0.206820645791024
"1",51,"folred",0.5,-0.663969992180463
"1",52,"brown",3.5,-0.273945724479689
"1",52,"calred",0.5,-0.853274466321263
"1",52,"encrust",34.5,-0.615019386454826
"1",52,"folred",7,1.48633019383929
"1",53,"brown",5,-0.10287363235742
"1",53,"calred",0,-0.878360340040563
"1",53,"encrust",36.5,-0.451739890189305
"1",53,"folred",3.5,0.32847624752096
"1",54,"brown",7.5,0.182246521179696
"1",54,"calred",0.5,-0.853274466321263
"1",54,"encrust",29,-1.06403800118501
"1",54,"folred",4,0.493883954137864
"1",55,"brown",7,0.125222490472273
"1",55,"calred",0.5,-0.853274466321263
"1",55,"encrust",37,-0.410920016122925
"1",55,"folred",4.5,0.659291660754767
"1",56,"brown",NA,NA
"1",56,"calred",NA,NA
"1",56,"encrust",NA,NA
"1",56,"folred",NA,NA
"1",57,"brown",0.5,-0.616089908724227
"1",57,"calred",1.5,-0.803102718882664
"1",57,"encrust",39.5,-0.206820645791024
"1",57,"folred",3,0.163068540904056
"1",58,"brown",NA,NA
"1",58,"calred",NA,NA
"1",58,"encrust",NA,NA
"1",58,"folred",NA,NA
"1",59,"brown",NA,NA
"1",59,"calred",NA,NA
"1",59,"encrust",NA,NA
"1",59,"folred",NA,NA
"1",60,"brown",NA,NA
"1",60,"calred",NA,NA
"1",60,"encrust",NA,NA
"1",60,"folred",NA,NA
"1",61,"brown",4,-0.216921693772266
"1",61,"calred",1,-0.828188592601964
"1",61,"encrust",51,0.732036457735719
"1",61,"folred",3.5,0.32847624752096
"1",62,"brown",NA,NA
"1",62,"calred",NA,NA
"1",62,"encrust",NA,NA
"1",62,"folred",NA,NA
"1",63,"brown",17,1.26570310462073
"1",63,"calred",2,-0.778016845163364
"1",63,"encrust",62,1.63007368719608
"1",63,"folred",2.5,-0.00233916571284772
"2",1,"brown",1,-0.903764386997613
"2",1,"calred",14.5,0.142538154015056
"2",1,"encrust",59,0.186455315489522
"2",1,"folred",1.5,-0.503889236777481
"2",2,"brown",21,0.398737652727023
"2",2,"calred",16.5,0.400812415991056
"2",2,"encrust",59,0.186455315489522
"2",2,"folred",6,-0.131822416432499
"2",3,"brown",22.5,0.496425305706371
"2",3,"calred",20.5,0.917360939943055
"2",3,"encrust",62,0.38085790672122
"2",3,"folred",2,-0.462548478961372
"2",4,"brown",23,0.528987856699486
"2",4,"calred",23.5,1.30477233290705
"2",4,"encrust",42.5,-0.882758936284818
"2",4,"folred",11,0.281585161728592
"2",5,"brown",15.5,0.040549591802748
"2",5,"calred",27.5,1.82132085685905
"2",5,"encrust",48,-0.526354185693371
"2",5,"folred",5.5,-0.173163174248608
"2",6,"brown",34,1.24536397854804
"2",6,"calred",26.5,1.69218372587105
"2",6,"encrust",31,-1.62796886933966
"2",6,"folred",10.5,0.240244403912483
"2",7,"brown",35.5,1.34305163152738
"2",7,"calred",28,1.88588942235305
"2",7,"encrust",42,-0.915159368156767
"2",7,"folred",8.5,0.0748813726480467
"2",8,"brown",NA,NA
"2",8,"calred",NA,NA
"2",8,"encrust",NA,NA
"2",8,"folred",NA,NA
"2",9,"brown",0.5,-0.936326937990729
"2",9,"calred",27,1.75675229136505
"2",9,"encrust",29,-1.75757059682746
"2",9,"folred",0,-0.627911510225808
"2",10,"brown",0,-0.968889488983845
"2",10,"calred",21,0.981929505437055
"2",10,"encrust",39.5,-1.07716152751652
"2",10,"folred",0,-0.627911510225808
"2",11,"brown",0,-0.968889488983845
"2",11,"calred",26.5,1.69218372587105
"2",11,"encrust",36.5,-1.27156411874821
"2",11,"folred",0,-0.627911510225808
"2",12,"brown",34,1.24536397854804
"2",12,"calred",29,2.01502655334105
"2",12,"encrust",42,-0.915159368156767
"2",12,"folred",0.5,-0.586570752409699
"2",13,"brown",20,0.333612550740791
"2",13,"calred",24,1.36934089840105
"2",13,"encrust",51,-0.331951594461673
"2",13,"folred",0,-0.627911510225808
"2",14,"brown",0,-0.968889488983845
"2",14,"calred",19.5,0.788223808955055
"2",14,"encrust",66.5,0.672461793568767
"2",14,"folred",0,-0.627911510225808
"2",15,"brown",2,-0.838639285011381
"2",15,"calred",20.5,0.917360939943055
"2",15,"encrust",57.5,0.0892540198736727
"2",15,"folred",0,-0.627911510225808
"2",16,"brown",43,1.83148989642412
"2",16,"calred",12,-0.180304673454943
"2",16,"encrust",65.5,0.607660929824868
"2",16,"folred",0.5,-0.586570752409699
"2",17,"brown",32,1.11511377457557
"2",17,"calred",12.5,-0.115736107960943
"2",17,"encrust",66,0.640061361696817
"2",17,"folred",0,-0.627911510225808
"2",18,"brown",0,-0.968889488983845
"2",18,"calred",4,-1.21340172135894
"2",18,"encrust",77.5,1.38527129475166
"2",18,"folred",0,-0.627911510225808
"2",19,"brown",0,-0.968889488983845
"2",19,"calred",2.5,-1.40710741784094
"2",19,"encrust",87,2.0008795003187
"2",19,"folred",0,-0.627911510225808
"2",20,"brown",NA,NA
"2",20,"calred",NA,NA
"2",20,"encrust",NA,NA
"2",20,"folred",NA,NA
"2",21,"brown",0,-0.968889488983845
"2",21,"calred",4.5,-1.14883315586494
"2",21,"encrust",74,1.15846827164801
"2",21,"folred",0,-0.627911510225808
"2",22,"brown",0,-0.968889488983845
"2",22,"calred",5,-1.08426459037094
"2",22,"encrust",70,0.899264816672415
"2",22,"folred",0,-0.627911510225808
"2",23,"brown",0,-0.968889488983845
"2",23,"calred",5.5,-1.01969602487694
"2",23,"encrust",72,1.02886654416021
"2",23,"folred",0.5,-0.586570752409699
"2",24,"brown",0,-0.968889488983845
"2",24,"calred",9.5,-0.503147500924943
"2",24,"encrust",69,0.834463952928515
"2",24,"folred",1,-0.54522999459359
"2",25,"brown",0,-0.968889488983845
"2",25,"calred",3,-1.34253885234694
"2",25,"encrust",78,1.41767172662361
"2",25,"folred",1,-0.54522999459359
"2",26,"brown",NA,NA
"2",26,"calred",NA,NA
"2",26,"encrust",NA,NA
"2",26,"folred",NA,NA
"2",27,"brown",3,-0.773514183025149
"2",27,"calred",14,0.0779695885210565
"2",27,"encrust",80,1.54727345411141
"2",27,"folred",5.5,-0.173163174248608
"2",28,"brown",10.5,-0.285075918128411
"2",28,"calred",12.5,-0.115736107960943
"2",28,"encrust",66,0.640061361696817
"2",28,"folred",11,0.281585161728592
"2",29,"brown",3,-0.773514183025149
"2",29,"calred",10,-0.438578935430943
"2",29,"encrust",78.5,1.45007215849556
"2",29,"folred",0.5,-0.586570752409699
"2",30,"brown",37,1.44073928450673
"2",30,"calred",14,0.0779695885210565
"2",30,"encrust",70,0.899264816672415
"2",30,"folred",5,-0.214503932064717
"2",31,"brown",37,1.44073928450673
"2",31,"calred",14,0.0779695885210565
"2",31,"encrust",65.5,0.607660929824868
"2",31,"folred",0,-0.627911510225808
"2",32,"brown",45.5,1.9943026513897
"2",32,"calred",19.5,0.788223808955055
"2",32,"encrust",45.5,-0.688356345053119
"2",32,"folred",7,-0.0491409008002807
"2",33,"brown",38,1.50586438649296
"2",33,"calred",19.5,0.788223808955055
"2",33,"encrust",44.5,-0.753157208797019
"2",33,"folred",1.5,-0.503889236777481
"2",34,"brown",27,0.789488264644413
"2",34,"calred",16.5,0.400812415991056
"2",34,"encrust",53,-0.202349866973874
"2",34,"folred",5,-0.214503932064717
"2",35,"brown",25.5,0.691800611665066
"2",35,"calred",16,0.336243850497056
"2",35,"encrust",49.5,-0.429152890077522
"2",35,"folred",4.5,-0.255844689880826
"2",36,"brown",44.5,1.92917754940347
"2",36,"calred",17,0.465380981485056
"2",36,"encrust",33,-1.49836714185186
"2",36,"folred",9.5,0.157562888280265
"2",37,"brown",36,1.3756141825205
"2",37,"calred",22.5,1.17563520191905
"2",37,"encrust",73,1.09366740790411
"2",37,"folred",1,-0.54522999459359
"2",38,"brown",15,0.00798704080963215
"2",38,"calred",14.5,0.142538154015056
"2",38,"encrust",74.5,1.19086870351996
"2",38,"folred",1,-0.54522999459359
"2",39,"brown",14,-0.0571380611765996
"2",39,"calred",13.5,0.0134010230270566
"2",39,"encrust",61.5,0.34845747484927
"2",39,"folred",0,-0.627911510225808
"2",40,"brown",NA,NA
"2",40,"calred",NA,NA
"2",40,"encrust",NA,NA
"2",40,"folred",NA,NA
"2",41,"brown",0,-0.968889488983845
"2",41,"calred",3.5,-1.27797028685294
"2",41,"encrust",77,1.35287086287971
"2",41,"folred",2.5,-0.421207721145263
"2",42,"brown",23,0.528987856699486
"2",42,"calred",5.5,-1.01969602487694
"2",42,"encrust",49.5,-0.429152890077522
"2",42,"folred",2,-0.462548478961372
"2",43,"brown",19.5,0.301049999747675
"2",43,"calred",4,-1.21340172135894
"2",43,"encrust",72.5,1.06126697603216
"2",43,"folred",0,-0.627911510225808
"2",44,"brown",0,-0.968889488983845
"2",44,"calred",3.5,-1.27797028685294
"2",44,"encrust",59,0.186455315489522
"2",44,"folred",0.5,-0.586570752409699
"2",45,"brown",0.5,-0.936326937990729
"2",45,"calred",6.5,-0.890558893888942
"2",45,"encrust",54.5,-0.105148571358025
"2",45,"folred",3.5,-0.338526205513045
"2",46,"brown",46,2.02686520238282
"2",46,"calred",13,-0.0511675424669433
"2",46,"encrust",51,-0.331951594461673
"2",46,"folred",4.5,-0.255844689880826
"2",47,"brown",11.5,-0.219950816142179
"2",47,"calred",4.5,-1.14883315586494
"2",47,"encrust",40.5,-1.01236066377262
"2",47,"folred",1.5,-0.503889236777481
"2",48,"brown",NA,NA
"2",48,"calred",NA,NA
"2",48,"encrust",NA,NA
"2",48,"folred",NA,NA
"2",49,"brown",NA,NA
"2",49,"calred",NA,NA
"2",49,"encrust",NA,NA
"2",49,"folred",NA,NA
"2",50,"brown",9.5,-0.350201020114643
"2",50,"calred",7.5,-0.761421762900942
"2",50,"encrust",34,-1.43356627810796
"2",50,"folred",17,0.777674255521902
"2",51,"brown",3,-0.773514183025149
"2",51,"calred",7,-0.825990328394942
"2",51,"encrust",45,-0.720756776925069
"2",51,"folred",10.5,0.240244403912483
"2",52,"brown",21,0.398737652727023
"2",52,"calred",7,-0.825990328394942
"2",52,"encrust",41.5,-0.947559800028717
"2",52,"folred",45,3.09275669322401
"2",53,"brown",10,-0.317638469121527
"2",53,"calred",9.5,-0.503147500924943
"2",53,"encrust",43.5,-0.817958072540918
"2",53,"folred",17.5,0.819015013338011
"2",54,"brown",2.5,-0.806076734018265
"2",54,"calred",8,-0.696853197406942
"2",54,"encrust",50.5,-0.364352026333623
"2",54,"folred",21,1.10840031805077
"2",55,"brown",10,-0.317638469121527
"2",55,"calred",7,-0.825990328394942
"2",55,"encrust",34,-1.43356627810796
"2",55,"folred",40.5,2.72068987287903
"2",56,"brown",NA,NA
"2",56,"calred",NA,NA
"2",56,"encrust",NA,NA
"2",56,"folred",NA,NA
"2",57,"brown",0.5,-0.936326937990729
"2",57,"calred",13,-0.0511675424669433
"2",57,"encrust",64.5,0.542860066080968
"2",57,"folred",27,1.60448941184408
"2",58,"brown",NA,NA
"2",58,"calred",NA,NA
"2",58,"encrust",NA,NA
"2",58,"folred",NA,NA
"2",59,"brown",NA,NA
"2",59,"calred",NA,NA
"2",59,"encrust",NA,NA
"2",59,"folred",NA,NA
"2",60,"brown",6.5,-0.545576326073338
