"","V1","V2"
"1",352.5,110
"2",289.5,58
"3",240.5,237
"4",130.334908604289,247.162509179716
"5",217.5,0
"6",169.5,150
"7",160.5,61
"8",367.5,215
"9",260.571149637167,157.196020805768
"10",212.5,369
"11",39.5,67
"12",347.5,312
"13",42.5,172
"14",418.5,7
